Project_ID,Construction_Year,City,Plot_Area_sqft,Builtup_Area_sqft,Number_of_Floors,House_Type,Construction_Quality,Bedroom_Count,Bathroom_Count,Hall_Count,Kitchen_Count,Foundation_Type,Steel_Quantity_kg,Cement_Bags,Sand_Quantity_m3,Aggregate_Quantity_m3,Brick_Quantity,Electrical_Points,Plumbing_Points,Mason_Labour_Days,Carpenter_Labour_Days,Electrician_Labour_Days,Plumber_Labour_Days,Cement_Rate_per_Bag,Steel_Rate_per_kg,Sand_Rate_per_m3,Brick_Rate_per_1000,Material_Cost,Labour_Cost,Total_Estimated_Cost
74,2014,Salem,1748,1399,2,Residential,Standard,1,1,1,1,RCC,6295,461,20.98,16.79,11192,31,30,55,34,17,15,367,63,2005,10683,5412451.2,2182440.0,8729760.0
75,2020,Coimbatore,2607,2086,3,Residential,Economy,1,1,1,1,RCC,9387,688,31.29,25.03,16688,48,28,83,52,26,23,427,81,2157,7261,7889252.0,3181150.0,12724600.0
76,2024,Coimbatore,2596,2077,3,Residential,Premium,4,4,1,1,RCC,9346,685,31.15,24.92,16616,38,8,83,51,25,23,370,66,1365,9879,13070561.0,5270387.5,21081550.0
77,2021,Tiruppur,3151,2521,1,Residential,Standard,5,4,1,1,RCC,11344,831,37.81,30.25,20168,64,21,100,63,31,28,371,59,2169,8603,13804592.64,5566368.0,22265472.0
78,2021,Erode,2907,2326,3,Residential,Standard,4,4,1,1,RCC,10467,767,34.89,27.91,18608,85,8,93,58,29,25,440,71,1707,10315,12113808.0,4884600.0,19538400.0
79,2011,Madurai,1207,966,2,Residential,Luxury,1,1,1,1,RCC,4347,318,14.49,11.59,7728,49,10,38,24,12,10,437,68,1943,9230,5993991.36,2416932.0,9667728.0
80,2018,Madurai,2715,2172,3,Residential,Premium,1,1,1,1,RCC,9774,716,32.58,26.06,17376,25,27,86,54,27,24,463,78,1333,7198,13668396.0,5511450.0,22045800.0
81,2018,Salem,2196,1757,1,Residential,Luxury,4,4,1,1,RCC,7906,579,26.36,21.08,14056,88,12,70,43,21,19,423,63,1217,9484,14431576.32,5819184.0,23276736.0
82,2024,Madurai,1773,1419,3,Residential,Premium,2,2,1,1,RCC,6385,468,21.29,17.03,11352,35,24,56,35,17,15,385,70,1527,9025,8929767.0,3600712.5,14402850.0
83,2015,Salem,3087,2470,1,Residential,Luxury,1,1,1,1,RCC,11115,815,37.05,29.64,19760,38,10,98,61,30,27,393,77,1372,8706,19295640.0,7780500.0,31122000.0
84,2017,Coimbatore,1492,1194,2,Residential,Luxury,4,4,1,1,RCC,5373,394,17.91,14.33,9552,78,22,47,29,14,13,439,79,1681,11411,8128274.4,3277530.0,13110120.0
85,2021,Madurai,1620,1296,2,Residential,Premium,3,3,1,1,RCC,5832,427,19.44,15.55,10368,58,14,51,32,16,14,416,65,1580,9009,7736290.56,3119472.0,12477888.0
86,2012,Salem,2205,1764,1,Residential,Standard,3,3,1,1,RCC,7938,582,26.46,21.17,14112,57,15,70,44,22,19,424,74,1673,7823,9186912.0,3704400.0,14817600.0
87,2017,Tiruppur,3375,2700,1,Residential,Economy,1,1,1,1,RCC,12150,891,40.5,32.4,21600,82,19,108,67,33,30,365,67,1676,7976,13224600.0,5332500.0,21330000.0
88,2021,Trichy,1257,1006,1,Residential,Standard,5,4,1,1,RCC,4527,331,15.09,12.07,8048,47,22,40,25,12,11,437,66,2561,7051,4161459.84,1678008.0,6712032.0
89,2011,Madurai,1541,1233,3,Residential,Premium,5,4,1,1,RCC,5548,406,18.5,14.8,9864,68,12,49,30,15,13,365,64,1722,7313,6961172.76,2806924.5,11227698.0
90,2015,Trichy,2041,1633,1,Residential,Luxury,3,3,1,1,RCC,7348,538,24.49,19.6,13064,64,10,65,40,20,18,386,59,2215,11489,13085033.04,5276223.0,21104892.0
91,2014,Erode,3475,2780,1,Residential,Economy,4,4,1,1,RCC,12510,917,41.7,33.36,22240,36,28,111,69,34,30,380,70,1755,10356,12685696.0,5115200.0,20460800.0
92,2019,Erode,2450,1960,3,Residential,Luxury,3,3,1,1,RCC,8820,646,29.4,23.52,15680,70,21,78,49,24,21,413,58,1945,8615,11767996.8,4745160.0,18980640.0
93,2023,Coimbatore,3000,2400,3,Residential,Standard,4,4,1,1,RCC,10800,792,36.0,28.8,19200,79,11,96,60,30,26,465,60,2031,11733,9285120.0,3744000.0,14976000.0
94,2011,Trichy,2866,2293,2,Residential,Standard,2,2,1,1,RCC,10318,756,34.39,27.52,18344,43,28,91,57,28,25,463,70,1382,11692,8871158.4,3577080.0,14308320.0
95,2021,Madurai,2897,2318,3,Residential,Standard,5,4,1,1,RCC,10431,764,34.77,27.82,18544,45,24,92,57,28,25,381,60,1422,10143,10209584.64,4116768.0,16467072.0
96,2025,Madurai,3511,2809,1,Residential,Standard,3,3,1,1,RCC,12640,926,42.13,33.71,22472,31,27,112,70,35,31,441,70,1376,8312,11243640.48,4533726.0,18134904.0
97,2015,Trichy,2136,1709,3,Residential,Standard,4,4,1,1,RCC,7690,563,25.63,20.51,13672,52,9,68,42,21,18,411,74,1520,10142,10044818.4,4050330.0,16201320.0
98,2011,Trichy,2838,2271,1,Residential,Standard,2,2,1,1,RCC,10219,749,34.06,27.25,18168,29,29,90,56,28,25,467,68,1441,10193,10610838.72,4278564.0,17114256.0
99,2017,Salem,3332,2666,3,Residential,Luxury,3,3,1,1,RCC,11997,879,39.99,31.99,21328,74,29,106,66,33,29,407,72,2231,10590,20291245.92,8181954.0,32727816.0
100,2017,Salem,1915,1532,1,Residential,Luxury,1,1,1,1,RCC,6894,505,22.98,18.38,12256,83,13,61,38,19,17,463,73,2019,7877,13198976.64,5322168.0,21288672.0
101,2012,Tiruppur,1342,1074,1,Residential,Luxury,3,3,1,1,RCC,4833,354,16.11,12.89,8592,81,24,42,26,13,11,425,79,1283,7333,8605833.12,3470094.0,13880376.0
102,2026,Salem,1666,1333,1,Residential,Economy,3,3,1,1,RCC,5998,439,20.0,16.0,10664,42,8,53,33,16,14,469,60,2457,7897,4446354.8,1792885.0,7171540.0
103,2017,Chennai,1991,1593,1,Residential,Premium,4,4,1,1,RCC,7168,525,23.89,19.12,12744,69,27,63,39,19,17,456,66,1525,9652,8735852.7,3522521.25,14090085.0
104,2025,Coimbatore,2407,1926,2,Residential,Premium,2,2,1,1,RCC,8667,635,28.89,23.11,15408,58,27,77,48,24,21,424,65,1853,10049,13990309.92,5641254.0,22565016.0
105,2018,Erode,1187,950,1,Residential,Luxury,2,2,1,1,RCC,4275,313,14.25,11.4,7600,66,20,38,23,11,10,381,66,1435,11347,6467220.0,2607750.0,10431000.0
106,2013,Madurai,1247,998,3,Residential,Luxury,3,3,1,1,RCC,4491,329,14.97,11.98,7984,75,19,39,24,12,11,393,70,1955,11729,8999245.44,3628728.0,14514912.0
107,2017,Coimbatore,1747,1398,2,Residential,Economy,3,3,1,1,RCC,6291,461,20.97,16.78,11184,31,17,55,34,17,15,464,74,1719,9540,6691387.2,2698140.0,10792560.0
108,2014,Madurai,2600,2080,3,Residential,Economy,1,1,1,1,RCC,9360,686,31.2,24.96,16640,80,21,83,52,26,23,425,69,1297,8081,8330816.0,3359200.0,13436800.0
109,2011,Chennai,3500,2800,1,Residential,Economy,5,4,1,1,RCC,12600,924,42.0,33.6,22400,70,17,112,70,35,31,373,74,1931,11375,9027200.0,3640000.0,14560000.0
110,2016,Madurai,2147,1718,2,Residential,Premium,5,4,1,1,RCC,7731,566,25.77,20.62,13744,85,13,68,42,21,19,377,58,1698,8223,9143333.44,3686828.0,14747312.0
111,2022,Tiruppur,3307,2646,1,Residential,Standard,1,1,1,1,RCC,11907,873,39.69,31.75,21168,58,8,105,66,33,29,367,78,2351,9869,13071663.36,5270832.0,21083328.0
112,2015,Chennai,3271,2617,3,Residential,Luxury,5,4,1,1,RCC,11776,863,39.25,31.4,20936,30,9,104,65,32,29,428,58,2031,8520,18866895.12,7607619.0,30430476.0
113,2016,Coimbatore,2216,1773,1,Residential,Economy,1,1,1,1,RCC,7978,585,26.59,21.28,14184,77,14,70,44,22,19,426,77,2516,11152,5716152.0,2304900.0,9219600.0
114,2019,Erode,3125,2500,3,Residential,Premium,2,2,1,1,RCC,11250,825,37.5,30.0,20000,31,23,100,62,31,27,451,75,1213,10073,12496100.0,5038750.0,20155000.0
115,2015,Coimbatore,3235,2588,3,Residential,Economy,4,4,1,1,RCC,11646,854,38.82,31.06,20704,38,16,103,64,32,28,389,78,1279,8009,12387203.2,4994840.0,19979360.0
116,2023,Erode,2717,2174,3,Residential,Economy,3,3,1,1,RCC,9783,717,32.61,26.09,17392,58,17,86,54,27,24,442,64,1374,11156,8949923.2,3608840.0,14435360.0
117,2015,Erode,1077,862,1,Residential,Standard,3,3,1,1,RCC,3879,284,12.93,10.34,6896,66,14,34,21,10,9,409,68,2431,8959,4027539.84,1624008.0,6496032.0
118,2026,Erode,2942,2354,3,Residential,Luxury,5,4,1,1,RCC,10593,776,35.31,28.25,18832,25,8,94,58,29,26,415,81,1678,11672,20753805.6,8368470.0,33473880.0
119,2014,Chennai,2575,2060,1,Residential,Economy,4,4,1,1,RCC,9270,679,30.9,24.72,16480,28,11,82,51,25,22,373,77,1531,9825,7790920.0,3141500.0,12566000.0
120,2014,Erode,1725,1380,3,Residential,Economy,1,1,1,1,RCC,6210,455,20.7,16.56,11040,30,30,55,34,17,15,368,81,1295,7538,4603128.0,1856100.0,7424400.0
121,2013,Coimbatore,2860,2288,1,Residential,Economy,5,4,1,1,RCC,10296,755,34.32,27.46,18304,51,14,91,57,28,25,374,59,1270,7716,10440601.6,4209920.0,16839680.0
122,2016,Madurai,2471,1977,2,Residential,Standard,1,1,1,1,RCC,8896,652,29.65,23.72,15816,65,18,79,49,24,21,414,66,1242,9874,8442897.12,3404394.0,13617576.0
123,2026,Salem,2313,1851,2,Residential,Premium,1,1,1,1,RCC,8329,610,27.77,22.21,14808,61,27,74,46,23,20,455,58,2045,7255,11648343.0,4696912.5,18787650.0
124,2011,Trichy,3233,2587,3,Residential,Premium,1,1,1,1,RCC,11641,853,38.8,31.04,20696,52,30,103,64,32,28,470,60,2376,9352,18373132.7,7408521.25,29634085.0
125,2011,Chennai,1871,1497,2,Residential,Standard,1,1,1,1,RCC,6736,494,22.45,17.96,11976,69,23,59,37,18,16,372,73,1577,11051,7595897.76,3062862.0,12251448.0
126,2016,Erode,2777,2222,3,Residential,Standard,3,3,1,1,RCC,9999,733,33.33,26.66,17776,54,23,88,55,27,24,381,61,2503,7662,11274605.76,4546212.0,18184848.0
127,2021,Chennai,3510,2808,3,Residential,Economy,5,4,1,1,RCC,12636,926,42.12,33.7,22464,76,20,112,70,35,31,455,60,2064,7206,12186720.0,4914000.0,19656000.0
128,2026,Coimbatore,2903,2323,1,Residential,Premium,3,3,1,1,RCC,10453,766,34.84,27.88,18584,73,28,92,58,29,25,389,72,1459,11354,15746362.58,6349339.75,25397359.0
129,2014,Tiruppur,1172,938,2,Residential,Premium,5,4,1,1,RCC,4221,309,14.07,11.26,7504,82,29,37,23,11,10,430,81,1862,8388,6813556.96,2747402.0,10989608.0
130,2020,Salem,3371,2697,2,Residential,Standard,3,3,1,1,RCC,12136,890,40.45,32.36,21576,55,24,107,67,33,29,384,66,1817,8266,11878882.56,4789872.0,19159488.0
131,2017,Madurai,1797,1438,1,Residential,Premium,3,3,1,1,RCC,6471,474,21.57,17.26,11504,49,16,57,35,17,15,453,61,1537,7832,7885848.2,3179777.5,12719110.0
132,2019,Salem,2000,1600,2,Residential,Standard,2,2,1,1,RCC,7200,528,24.0,19.2,12800,60,14,64,40,20,17,373,78,1418,9300,8118528.0,3273600.0,13094400.0
133,2022,Tiruppur,2056,1645,2,Residential,Economy,4,4,1,1,RCC,7402,542,24.68,19.74,13160,80,30,65,41,20,18,388,74,2495,9426,5303480.0,2138500.0,8554000.0
134,2010,Erode,3371,2697,1,Residential,Premium,2,2,1,1,RCC,12136,890,40.45,32.36,21576,56,21,107,67,33,29,449,76,2403,10450,17845078.08,7195596.0,28782384.0
135,2013,Salem,2170,1736,3,Residential,Standard,5,4,1,1,RCC,7812,572,26.04,20.83,13888,80,18,69,43,21,19,393,78,1400,10437,7878662.4,3176880.0,12707520.0
136,2025,Salem,2240,1792,2,Residential,Premium,2,2,1,1,RCC,8064,591,26.88,21.5,14336,27,27,71,44,22,19,469,71,2261,8499,12147000.32,4897984.0,19591936.0
137,2011,Madurai,2678,2143,1,Residential,Luxury,4,4,1,1,RCC,9643,707,32.14,25.72,17144,52,13,85,53,26,23,451,64,2263,9852,13727715.12,5535369.0,22141476.0
138,2026,Chennai,1517,1214,3,Residential,Standard,4,4,1,1,RCC,5463,400,18.21,14.57,9712,72,24,48,30,15,13,403,71,2135,8721,7135406.4,2877180.0,11508720.0
139,2011,Madurai,1940,1552,2,Residential,Economy,5,4,1,1,RCC,6984,512,23.28,18.62,12416,60,20,62,38,19,17,411,59,1227,7615,6908883.2,2785840.0,11143360.0
140,2017,Madurai,3142,2514,2,Residential,Premium,3,3,1,1,RCC,11313,829,37.71,30.17,20112,76,24,100,62,31,27,388,70,2146,8736,12972893.64,5231005.5,20924022.0
141,2017,Tiruppur,1841,1473,1,Residential,Standard,1,1,1,1,RCC,6628,486,22.09,17.68,11784,43,19,58,36,18,16,445,78,2046,10834,8657704.8,3491010.0,13964040.0
